period,period_end,Currency,statement_line,label,semantic_category,amount,source_table,source_filter,n_tx,classification_coverage_ratio,unknown_amount,review_required_amount,caveat,frontend_suitability
2026-01,2026-01-31,ARS,operating_revenue,Operating revenue,operating,110.0,monthly_flow_semantic_split.csv,supplied_semantic_universe; semantic_bucket=operating_revenue; amount_in,1,0.9377777777777778,28.0,28.0,"Excludes funding, family withdrawals, debt movements, internal transfers, and unknown/review-required flows from net operating.",safe_canonical
2026-01,2026-01-31,ARS,rent_revenue,Rent revenue,operating_detail,110.0,monthly_flow_semantic_split.csv,supplied_semantic_universe; semantic_bucket=operating_revenue; semantic_subbucket=rent; amount_in,1,0.9377777777777778,28.0,28.0,"Excludes funding, family withdrawals, debt movements, internal transfers, and unknown/review-required flows from net operating.",safe_canonical
2026-01,2026-01-31,ARS,property_opex_true,True property operating expense,operating,70.0,monthly_flow_semantic_split.csv,supplied_semantic_universe; semantic_bucket=property_opex; amount_out,5,0.9377777777777778,28.0,28.0,"Excludes funding, family withdrawals, debt movements, internal transfers, and unknown/review-required flows from net operating.",safe_canonical
2026-01,2026-01-31,ARS,taxes,Taxes,property_opex_detail,12.0,monthly_flow_semantic_split.csv,supplied_semantic_universe; semantic_bucket=property_opex; semantic_subbucket=taxes; amount_out,1,0.9377777777777778,28.0,28.0,"Excludes funding, family withdrawals, debt movements, internal transfers, and unknown/review-required flows from net operating.",safe_canonical
2026-01,2026-01-31,ARS,services,Services,property_opex_detail,13.0,monthly_flow_semantic_split.csv,supplied_semantic_universe; semantic_bucket=property_opex; semantic_subbucket=services; amount_out,1,0.9377777777777778,28.0,28.0,"Excludes funding, family withdrawals, debt movements, internal transfers, and unknown/review-required flows from net operating.",safe_canonical
2026-01,2026-01-31,ARS,maintenance,Maintenance,property_opex_detail,14.0,monthly_flow_semantic_split.csv,supplied_semantic_universe; semantic_bucket=property_opex; semantic_subbucket=maintenance; amount_out,1,0.9377777777777778,28.0,28.0,"Excludes funding, family withdrawals, debt movements, internal transfers, and unknown/review-required flows from net operating.",safe_canonical
2026-01,2026-01-31,ARS,legal,Legal,property_opex_detail,15.0,monthly_flow_semantic_split.csv,supplied_semantic_universe; semantic_bucket=property_opex; semantic_subbucket=legal; amount_out,1,0.9377777777777778,28.0,28.0,"Excludes funding, family withdrawals, debt movements, internal transfers, and unknown/review-required flows from net operating.",safe_canonical
2026-01,2026-01-31,ARS,other_property_opex,Other property OPEX,property_opex_detail,16.0,monthly_flow_semantic_split.csv,supplied_semantic_universe; semantic_bucket=property_opex; semantic_subbucket not in explicit property opex list; amount_out,5,0.9377777777777778,28.0,28.0,Should remain zero unless future explicit OPEX rules are added.,review_before_frontend
2026-01,2026-01-31,ARS,net_operating,Net operating,operating_result,40.0,monthly_flow_semantic_split.csv,supplied_semantic_universe; operating_revenue - property_opex_true,6,0.9377777777777778,28.0,28.0,"Excludes funding, family withdrawals, debt movements, internal transfers, and unknown/review-required flows from net operating.",safe_canonical
2026-01,2026-01-31,ARS,funding_contributions,Funding contributions,non_operating_funding,17.0,monthly_flow_semantic_split.csv,supplied_semantic_universe; semantic_bucket=funding_contribution; amount_in,1,0.9377777777777778,28.0,28.0,Shown separately; not operating revenue.,safe_canonical
2026-01,2026-01-31,ARS,family_draws_or_distributions,Family draws or distributions,non_operating_distribution,57.0,monthly_flow_semantic_split.csv,"supplied_semantic_universe; semantic_bucket in family_withdrawal_candidate,family_withdrawal; amount_out",3,0.9377777777777778,28.0,28.0,Candidate line for review; not property OPEX.,review_before_frontend
2026-01,2026-01-31,ARS,personal_expenses,Personal expenses,non_operating_distribution_detail,18.0,monthly_flow_semantic_split.csv,supplied_semantic_universe; semantic_subbucket=personal_expense; amount_out,1,0.9377777777777778,28.0,28.0,Personal expenses are distribution candidates; not property OPEX.,review_before_frontend
2026-01,2026-01-31,ARS,dividends,Dividends,non_operating_distribution_detail,19.0,monthly_flow_semantic_split.csv,supplied_semantic_universe; semantic_subbucket=dividend; amount_out,0,0.9377777777777778,28.0,28.0,Dividend-like flows are not property OPEX.,review_before_frontend
