legacy_route_family,governed_replacement,modern_governed,legacy_reachable,blocker,removal_condition
monthly operating revenue / rent flow,FlowCellSpec + semantic_measure_registry_v1,yes when drilldown_cell_id is present,compatibility only,historical/minimal rows without governed cell identity,supported professional corpus contains governed cell IDs for all current monthly revenue rows
monthly property OPEX flow,FlowCellSpec + semantic_measure_registry_v1,yes when drilldown_cell_id is present,compatibility only,historical/minimal rows without governed cell identity,supported professional corpus contains governed cell IDs for all current monthly OPEX rows
monthly personal draws / withdrawal flow,FlowCellSpec + semantic_measure_registry_v1,yes when drilldown_cell_id is present,compatibility only,historical/minimal rows without governed cell identity,supported professional corpus contains governed cell IDs for all current monthly draw rows
annual flow drilldowns (rent/OPEX/draws and other atomic flows),annual governed metric artifacts; monthly FlowCellSpec membership exists,display metric yes; drilldown intentionally legacy,yes,annual lineage contract: wave4 explicitly refuses monthly recomputation for YEAR_RE rows,dedicated annual membership/lineage contract composes monthly governed measure without discarding annual provenance
funding by actor/channel/cash-effect/target-Box,none complete,no; IDs explicitly deferred,yes,FundingSupportSpec: professional support is broader than core funding and may include debt-linked/direct-obligation support,first-class funding-support membership/grain contract lands and reconciles current support drilldowns
FX conversion proceeds/outflow/cost,partial FlowCellSpec/semantic measures,no; IDs explicitly deferred,yes,FX grain mismatch: current specs require Box while some professional statement rows are total-by-currency,governed FX total/Box grain contract lands with no silent aggregation across missing dimensions
monthly and annual debt position,DebtPositionSpec executor,yes,historical/minimal compatibility fallback,legacy source/table schemas remain supported,corpus/reachability census proves no supported pack requires pre-governed debt-position schema
monthly and annual debt activity,DebtActivitySpec executor,yes,historical/minimal compatibility fallback,legacy source/table schemas remain supported,corpus/reachability census proves no supported pack requires pre-governed debt-activity schema
monthly and annual validated cash position,cash position executor / governed validated selector,yes,historical/minimal compatibility fallback,legacy cash table shapes remain supported,supported packs all carry governed monthly_cash_close schema and compatibility fixtures are retired
derived metric/formula drilldowns,DerivedMetricSpec executor,yes for registered modern metrics,yes for historical/unregistered compatibility,legacy table identity and incomplete derived-spec coverage,all supported derived rows have stable derived_metric_id and governed source/reconciliation contract
diagnostic Box-level matrix and residual compatibility tables,no single closed contract,partial,yes,diagnostic-specific table routing still lives in legacy router,either retire diagnostic presentation table or give it a typed executor with explicit source/grain semantics
