legacy_metric_id,legacy_definition,legacy_source,governed_authority,replacement_metric_id,replacement_dimension,semantic_relation,annual_parity,monthly_reconstructible,current_production_consumer,disposition,reason_evidence
IS.RENT.TOTAL,sum_components over old rent leaf/per_flow,per_flow_time_long.freq=M.csv,monthly_flow_semantic_split.csv,IS.RENT.TOTAL,,exact,required_exact_by_year_currency,yes,legacy metrics engine only,DELETE,Governed semantic rent membership already emits the same public metric identity.
IS.REVENUE.TOTAL,derived alias of legacy rent total,metric_values.csv,monthly_operating_statement.csv,IS.REVENUE.OPERATING,,superseded,not_required_identity_changed,yes,legacy metrics engine only,DELETE,Current authority names operating revenue explicitly and is not dependent on the old registry namespace.
IS.CONTRIB.TOTAL,sum legacy contribution view,views/v_contributions_monthly.csv,monthly_operating_statement.csv,FUND.CONTRIB.TOTAL,,superseded,compare_narrow_core_membership_by_year_currency,yes,legacy metrics engine/frontier compatibility only,DELETE,Funding must remain outside operating income; old IS namespace is intentionally retired.
FUND.CONTRIB.TOTAL,derived alias of IS.CONTRIB.TOTAL,metric_values.csv,monthly_operating_statement.csv,FUND.CONTRIB.TOTAL,,exact,required_exact_by_year_currency,yes,legacy metrics engine only,DELETE,Governed statement owns the narrow core contribution total; broader support remains separately typed.
IS.INCOME.TOTAL,rent plus family contributions,metric_values.csv,monthly_operating_statement.csv,,operating_revenue plus funding_contributions,unsafe_legacy,not_applicable_semantic_retirement,yes,legacy metrics engine only,DELETE,Mixes operating revenue and funding; preserving parity would preserve a rejected semantic.
IS.OPEX.TOTAL,sum legacy OPEX category view,views/v_opex_category_monthly.csv,monthly_operating_statement.csv,IS.OPEX.PROPERTY,,superseded,compare_property_scope_by_year_currency,yes,legacy metrics engine only,DELETE,Governed property OPEX excludes Household and non-property semantics.
IS.NET.OPERATING,legacy derived revenue minus OPEX,metric_values.csv,monthly_operating_statement.csv,IS.NET.OPERATING,,exact,required_exact_where_legacy_inputs_semantically_match,yes,legacy metrics engine only,DELETE,Current governed statement owns the operating-result identity.
IS.NET.AFTER_COSTS,legacy income including contributions minus OPEX,metric_values.csv,monthly_operating_statement.csv,,IS.NET.OPERATING plus funding separately,unsafe_legacy,not_applicable_semantic_retirement,yes,frontier compatibility injection only,DELETE,Old coverage-like result embeds funding inside income and must not be reproduced.
IS.DRAWS.PERSONAL,regex classification over raw ledger text,ledger_canonical.csv,monthly_operating_statement.csv,DIST.DRAWS.PERSONAL,,superseded,compare_only_where_old_regex_and_governed_membership_overlap,yes,frontier compatibility injection only,DELETE,Governed distribution membership replaces raw text rediscovery.
DIST.DRAWS.PERSONAL,derived alias of IS.DRAWS.PERSONAL,metric_values.csv,monthly_operating_statement.csv,DIST.DRAWS.PERSONAL,,exact,required_exact_by_year_currency_on_governed_source,yes,legacy metrics engine only,DELETE,Current governed statement emits the distribution metric directly.
IS.NET.POST_DRAWS,legacy after-costs result minus draws,metric_values.csv,monthly_operating_statement.csv,COV.NET.AFTER_DRAWS,,superseded,not_applicable_semantic_retirement,yes,legacy metrics engine only,DELETE,Current coverage metric preserves explicit operating/funding/distribution separation.
COV.NET.AFTER_DRAWS,derived clean shadow coverage,metric_values.csv,monthly_operating_statement.csv,COV.NET.AFTER_DRAWS,,exact,required_exact_by_year_currency,yes,legacy metrics engine only,DELETE,Governed statement owns the current coverage identity.
BS.CASH.FB,last daily internal balance for Family Business,daily_cash_position.csv,monthly_cash_close.csv,BS.CASH.CLOSE.BOX,Box=Family Business,unsafe_legacy,not_applicable_validated_cash_semantics,yes,frontier compatibility injection only,DELETE,Validated cash excludes inferred/internal positions and never falls back to daily internal balance.
BS.CASH.PM,last daily internal balance for Property Management,daily_cash_position.csv,monthly_cash_close.csv,BS.CASH.CLOSE.BOX,Box=Property Management,unsafe_legacy,not_applicable_validated_cash_semantics,yes,frontier compatibility injection only,DELETE,Validated cash excludes inferred/internal positions and never falls back to daily internal balance.
BS.CASH.TOTAL,sum old box cash leaves,metric_values.csv,monthly_cash_close.csv,BS.CASH.TOTAL,,superseded,not_applicable_validated_cash_semantics,yes,legacy metrics engine only,DELETE,Current cash total is the latest governed validated account snapshot by native currency.
BS.DEBT.PM_TO_MI.OPEN,last/sum PM liability to MI,debt_balance_{q,y}.csv,monthly_debt_position.csv,ID.DEBT.OPEN.BY_COUNTERPARTY,debtor=Property Management;creditor=MI,alias,required_closing_stock_parity,yes,legacy metrics engine only,DELETE,Counterparty is a governed dimension rather than a permanent metric ID.
BS.DEBT.PM_TO_PRIMOS.OPEN,last/sum PM liability to Primos,debt_balance_{q,y}.csv,monthly_debt_position.csv,ID.DEBT.OPEN.BY_COUNTERPARTY,debtor=Property Management;creditor=Primos,alias,required_closing_stock_parity,yes,legacy metrics engine only,DELETE,Counterparty is a governed dimension rather than a permanent metric ID.
BS.CLAIM.ALE_TO_PM.OPEN,last/sum Alejandro claim exposure,debt_balance_{q,y}.csv,monthly_debt_position.csv,ID.DEBT.OPEN.BY_COUNTERPARTY,debtor=Alejandro;creditor=Property Management,alias,required_closing_stock_parity,yes,legacy metrics engine only,DELETE,Claim exposure is recoverable from the governed counterparty dimension.
BS.DEBT.PRINCIPAL.OPEN,PM principal across governed creditors,debt_balance_{q,y}.csv,annual_balance_dashboard_metrics.csv,ID.DEBT.PRINCIPAL.OPEN,,alias,required_latest_valid_closing_stock_parity,yes,frontier compatibility injection only,DELETE,Governed annual debt stock already exposes principal and uses the position authority.
BS.DEBT.INTEREST.OPEN,PM interest across governed creditors,debt_balance_{q,y}.csv,annual_balance_dashboard_metrics.csv,ID.DEBT.INTEREST.OPEN,,alias,required_latest_valid_closing_stock_parity,yes,frontier compatibility injection only,DELETE,Governed annual debt stock already exposes interest and uses the position authority.
BS.DEBT.TOTAL.OPEN,PM total open debt,debt_balance_{q,y}.csv,annual_balance_dashboard_metrics.csv,ID.DEBT.TOTAL.OPEN,,alias,required_latest_valid_closing_stock_parity,yes,frontier compatibility injection only,DELETE,Governed annual debt total is a closing stock and never a sum across months.
