surface,current production consumer,test-only consumer,accounting significance,can delete now?,blocker,expected LOC win,risk
"public_contract + canonical_dashboard bundle","accounting.publish.latest; accounting-viewer manifest/debt loader","publication/release tests","Current downstream handoff of governed annual/frontier/semantic/cash/debt artifacts","NO","None; this is the supported publication contract","0","critical"
"overview_balance_dashboard professional table/drilldown","professional drilldown + linked digest when pack exists","professional drilldown/reconciliation tests","Current annual governed dashboard presentation and lineage","NO","Current professional reporting surface","0","high"
"income_operating_statement professional table/drilldown","professional drilldown + linked digest when pack exists","professional drilldown/reconciliation tests","Current annual operating/rent/OPEX presentation","NO","Current professional reporting surface","0","high"
"cash_annual_box_flow_bridge_wide","professional drilldown + linked digest when pack exists","professional drilldown tests","Current annual flow bridge; presentation over governed flow/cash evidence","NO","Current professional reporting surface; specialized bridge formulas remain","0","high"
"monthly_tables_operating_statement_matrix + _ars","professional drilldown + linked digest when pack exists","professional drilldown tests","Current monthly governed statement presentation","NO","Current professional reporting surface","0","high"
"monthly_tables_cash_close_matrix","governed cash executor via professional drilldown; linked digest","cash/drilldown tests","Current validated cash-position presentation; stock selector","NO","Current cash reporting ability","0","critical"
"monthly_tables_debt_position_matrix","governed debt-position executor via professional drilldown; linked digest","debt position tests","Current debt stock presentation; latest governed close","NO","Current debt-position reporting ability","0","critical"
"monthly_tables_debt_activity_matrix","governed debt-activity executor via professional drilldown; linked digest","debt activity tests","Current debt flow presentation","NO","Current debt-activity reporting ability","0","critical"
"annual_cash_close_by_box_wide","governed annual cash executor; linked digest when present","annual dashboard/cash tests","Current annual cash stock companion","NO","Current cash reporting ability","0","critical"
"annual_funding_by_actor_channel_wide","linked digest/drilldown when present; governed funding-support producer","annual dashboard/professional tests","Current broader funding/support reporting, distinct from core contribution metric","NO","Funding drilldown still has deferred legacy route identities in wave4 for some grains","0","high"
"annual_debt_stock_by_pair_wide","linked digest/drilldown when present","annual dashboard/debt tests","Current annual debt stock companion","NO","Current debt reporting ability","0","critical"
"annual_debt_activity_by_pair_wide","linked digest/drilldown when present","annual dashboard/debt tests","Current annual debt activity companion","NO","Current debt reporting ability","0","critical"
"monthly_tables_draws_by_box_amount_out + draws_by_type_amount_out","professional drilldown; stable FlowCellSpec identity when enriched","professional acceptance/atomic-flow tests","Useful current atomic withdrawal drilldowns","NO","Current professional diagnostic/reporting surface has governed identities","0","medium"
"monthly_tables_opex_by_type_amount_out","professional drilldown; stable FlowCellSpec identity when enriched","professional acceptance/atomic-flow tests","Useful current property-OPEX detail","NO","Current professional reporting detail","0","medium"
"monthly_tables_flow_bucket_all_measures + flow_subbucket_all_measures","legacy router; linked digest glob if files exist","professional compatibility/reconciliation tests","Exploratory semantic diagnostics, not accounting authority","DEFER","First split diagnostic-table discovery from the linked-digest/public presentation allowlist","~30-80 presentation/router LOC","low-medium"
"monthly_tables_fb_bridge_matrix + pm_stress_matrix + household_bridge_matrix","legacy specialized drilldown router; linked digest glob","professional acceptance tests","Diagnostic bridge views; preserve underlying semantic/Box evidence","DEFER","Retain evidence but decide typed diagnostic contract vs non-presented analyst CSVs; net_flow/debt_net/unknown_net remain specialized","~80-180 route LOC if retired","medium"
"monthly_tables_unknown_review_net_matrix","legacy specialized drilldown router; linked digest glob","professional acceptance tests","Diagnostic review-required visibility; evidence must remain","DEFER","Retain unknown/review evidence but remove presentation only after diagnostic workflow has direct evidence path","~20-40 route LOC","medium"
"monthly_tables_fx_treasury_* + fx_treasury_compact","legacy/deferred FX route family; linked digest glob","FX resolver and professional tests","Treasury/FX diagnostics and reporting; native-currency semantics matter","NO","Governed total-vs-Box FX grain contract still needed for full replacement","0 now; ~100-200 after migration","high"
"monthly_tables_diagnostic_box_level_matrix presentation/drilldown route","legacy diagnostic cash-control route; linked digest glob if file exists","legacy position compatibility + professional tests","Diagnostic only; source is box_balance_time_long, not cash authority","YES","None if underlying box_balance_time_long and cash QA evidence remain available","~40-100 direct route LOC; unlocks more legacy cash-helper deletion","medium"
"metric_values.csv","metrics.build; frontier QA; legacy statement/view generation","metrics tests","Compatibility metric engine artifact, not current viewer/public authority","DEFER","Migrate frontier QA and remaining legacy statement/view builders off metric_values; remove Makefile assertion","hundreds across builders/derive/build/io","medium-high"
"metric_registry.csv","metrics.build; frontier QA; legacy leaf-builder dispatch/validation","metrics tests","Compatibility registry for old metric engine, not current viewer/public authority","DEFER","Replace old leaf registry/dispatch with governed annual/frontier contract metadata; remove Makefile assertion","hundreds together with metric_values consolidation","medium-high"
"metric_views/* required by Makefile","metrics.build creates; Makefile hard-asserts selected last6 views","metric view tests/notebooks","Presentation convenience views; not published and not loaded by active viewer","DEFER","Remove/replace Makefile requirements and confirm notebook consumers use governed sources","~150-300 generation/assertion LOC","low-medium"
"legacy_reconciliation/income_statement_y.csv + balance_cash_y.csv publication copies","accounting.publish.latest currently copies if present; active viewer does not load","check_contracts/release labeling tests","Explicitly legacy reconciliation, not canonical dashboard","YES","Update publisher static list/static contract smoke; release check does not require presence","~5-20 publisher/check LOC","low"
"legacy income_statement_y/balance_cash_y/balance_debt_y and quarterly generation","metrics.build build_statement_views","metrics/contract tests; historical notebooks may reference","Legacy statement compatibility derived from metric_values","DEFER","Remove old metric-values engine or migrate any still-supported notebook to annual_balance_dashboard_metrics/frontier","~60-120 generation LOC plus registry surface","medium"
"views/v_contributions_monthly.csv","metrics.build load_context -> builders.build_is_contrib_total","metrics/marts tests","Legacy contribution input feeding old IS.CONTRIB.TOTAL metric only; canonical support/funding exists elsewhere","DEFER","Retire/migrate old leaf builder and metric_values dependency; then remove mart output","~50 mart LOC + leaf builder/context wiring","medium"
