table_id,row_label,periods_affected,Currency,current_status,semantic_class,expected_lineage,source_artifact_expected,source_artifact_found,root_cause,recommended_fix
overview_balance_dashboard,Funding / aportes,all rendered annual periods,all currencies,unsupported: no matching annual metric row,flow_semantic,annual presentation row should match FUND.CONTRIB.TOTAL or FUND.CONTRIB.BY_ACTOR then drill to monthly_operating_statement/monthly_flow_semantic_split and classification_audit,annual_balance_dashboard_metrics.csv; monthly_operating_statement.csv; monthly_flow_semantic_split.csv; classification_audit.csv,annual_balance_dashboard_metrics.csv has FUND.CONTRIB.TOTAL and FUND.CONTRIB.BY_ACTOR generation paths but renderer fallback only recognizes rent/opex/net operating labels,renderer_key_mismatch,Add explicit professional label-to-metric mapping for Funding / aportes to FUND.CONTRIB.TOTAL and actor-dimension variants; preserve actor/counterparty/cash_path from semantic artifacts instead of guessing in renderer.
overview_balance_dashboard,Matías funding,all rendered annual periods,all currencies,unsupported: no matching annual metric row,flow_semantic,annual row should map to FUND.CONTRIB.BY_ACTOR with dimension_name=actor and dimension_value=Matías then drill to semantic rows and classification rows,annual_balance_dashboard_metrics.csv; monthly_flow_semantic_split.csv; classification_audit.csv,monthly_flow_semantic_split.csv is expected to carry actor/counterparty dimensions and annual metrics generate FUND.CONTRIB.BY_ACTOR by actor when present,renderer_key_mismatch,Ensure semantic classifier emits actor=Matías plus channel/cash_path semantics; add renderer mapping from Matías funding labels to FUND.CONTRIB.BY_ACTOR dimension filters.
overview_balance_dashboard,Inquilinos directo a pagar impuestos,all rendered annual periods,all currencies,unsupported: no matching annual metric row,flow_semantic,semantic flow should identify tenant support toward PM/property obligations and whether cash_path bypasses cash box; annual row should be FUND.CONTRIB.BY_ACTOR or a more specific funding-channel metric,monthly_flow_semantic_split.csv; classification_audit.csv; annual_balance_dashboard_metrics.csv,semantic split supports actor/counterparty but annual metrics only aggregate funding by actor not by cash_path/channel,missing_metric_generation,Add explicit funding channel dimension or metric for tenant-direct-to-tax support so annual metrics can distinguish obligations paid directly from cash-box inflows.
overview_balance_dashboard,Inquilinos a la caja,all rendered annual periods,all currencies,unsupported: no matching annual metric row,flow_semantic,semantic flow should identify tenant cash-box inflow with Box/cash_path and actor; annual row should be funding by actor/channel/box,monthly_flow_semantic_split.csv; classification_audit.csv; annual_balance_dashboard_metrics.csv,annual metrics generate actor funding only and may not expose Box/cash_path for this business distinction,missing_metric_generation,Extend annual funding metrics to include channel/cash_path or Box dimensions for tenant-to-box funding; renderer should use those dimensions.
overview_balance_dashboard,Alejandro funding,all rendered annual periods,all currencies,unsupported: no matching annual metric row,flow_semantic,annual row should map to FUND.CONTRIB.BY_ACTOR actor=Alejandro and preserve Family Business classification,annual_balance_dashboard_metrics.csv; monthly_flow_semantic_split.csv; classification_audit.csv,FUND.CONTRIB.BY_ACTOR exists in annual generator when actor is present but professional fallback lacks funding label recognition,renderer_key_mismatch,Add Alejandro label/dimension mapping and verify classifier assigns actor=Alejandro and FB/Family Business context.
overview_balance_dashboard,Primos funding,all rendered annual periods,all currencies,unsupported: no matching annual metric row,flow_semantic,annual row should map to FUND.CONTRIB.BY_ACTOR actor=Primos and preserve Family Business classification,annual_balance_dashboard_metrics.csv; monthly_flow_semantic_split.csv; classification_audit.csv,FUND.CONTRIB.BY_ACTOR exists in annual generator when actor is present but professional fallback lacks funding label recognition,renderer_key_mismatch,Add Primos label/dimension mapping and verify classifier assigns actor=Primos and FB/Family Business context.
overview_balance_dashboard,Héctor funding,all rendered annual periods,all currencies,unsupported: no matching annual metric row,flow_semantic,annual row should map only after explicit ledger semantic classification for Héctor funding channel/actor,classification_audit.csv; monthly_flow_semantic_split.csv; annual_balance_dashboard_metrics.csv,classification semantics must decide actor/channel; renderer currently cannot infer safely,missing_metric_generation,Add/verify semantic rules for Héctor with explicit actor/counterparty/cash_path before adding annual dimension mapping; do not infer from renderer text alone.
overview_balance_dashboard,Household funding PM,all rendered annual periods,all currencies,unsupported: no matching annual metric row,flow_semantic,annual row should map to FUND.CONTRIB.BY_ACTOR or funding channel showing HH funds PM as internal support,monthly_flow_semantic_split.csv; classification_audit.csv; annual_balance_dashboard_metrics.csv,annual funding generation is actor-only and does not guarantee PM/Household channel visibility,missing_metric_generation,Add household-to-PM channel/counterparty dimension to semantic split and annual funding metrics; renderer should consume that explicit dimension.
overview_balance_dashboard,Retiros / gasto personal,all rendered annual periods,all currencies,unsupported: no matching annual metric row,flow_semantic,annual row should match DIST.DRAWS.PERSONAL or DIST.DRAWS.BY_TYPE then drill to monthly statement/semantic split/classification audit,annual_balance_dashboard_metrics.csv; monthly_operating_statement.csv; monthly_flow_semantic_split.csv; classification_audit.csv,annual generator emits DIST.DRAWS.PERSONAL and DIST.DRAWS.BY_TYPE but fallback recognizes only rent/opex/net operating labels,renderer_key_mismatch,Add professional label mapping for Retiros / gasto personal to DIST.DRAWS.PERSONAL and by-type variants; preserve semantic_subbucket dimensions.
overview_balance_dashboard,Dividendos,all rendered annual periods,all currencies,unsupported: no matching annual metric row,flow_semantic,annual row should match DIST.DIVIDENDS from monthly_operating_statement,annual_balance_dashboard_metrics.csv; monthly_operating_statement.csv; classification_audit.csv,annual generator emits DIST.DIVIDENDS from statement_line=dividends but renderer fallback lacks dividend label mapping,renderer_key_mismatch,Map Dividendos to DIST.DIVIDENDS and drill to monthly_operating_statement plus classification rows where available.
overview_balance_dashboard,Cobertura después de funding y retiros,all rendered annual periods,all currencies,unsupported: no matching annual metric row,formula_composite,formula drilldown should show net_operating + funding_contributions - family_draws_or_distributions component rows and annual COV.NET.AFTER_DRAWS,annual_balance_dashboard_metrics.csv; monthly_operating_statement.csv,annual generator emits COV.NET.AFTER_DRAWS but fallback only recognizes Resultado operativo neto formula,renderer_key_mismatch,Map this label to COV.NET.AFTER_DRAWS and render formula with component rows rather than requiring a single semantic flow.
