route_id,layer,file,surface,modern_reachable,governed_identity_present,classification,authority_role,evidence,immediate_action
legacy.cellspec.draws_by_box,professional_drilldown,accounting/professional/drilldown_legacy.py,monthly_tables_draws_by_box_amount_out branch,true,true,DEAD,none,"Wave3 reachability case draws_by_box_monthly is GOVERNED_ATOMIC and safe_to_delete=true; table enrichment always attaches flow.draws.by_box",safe_to_prune_mechanically
legacy.cellspec.draws_by_type_amount_out,professional_drilldown,accounting/professional/drilldown_legacy.py,monthly_tables_draws_by_type_amount_out branch,true,true,DEAD,none,"Wave3 reachability case draws_by_type_monthly is GOVERNED_ATOMIC and safe_to_delete=true; table enrichment always attaches flow.draws.by_type",safe_to_prune_mechanically
legacy.cellspec.opex_by_type_amount_out,professional_drilldown,accounting/professional/drilldown_legacy.py,monthly_tables_opex_by_type_amount_out branch,true,true,DEAD,none,"Wave3 reachability case opex_by_box_category_monthly is GOVERNED_ATOMIC and safe_to_delete=true; table enrichment always attaches flow.property_opex.by_box_category",safe_to_prune_mechanically
legacy.cellspec.generic_flow_bucket_subbucket,professional_drilldown,accounting/professional/drilldown_legacy.py,generic bucket/subbucket exploratory matrices,true,false,REQUIRED_COMPATIBILITY,diagnostic_only,"These tables intentionally expose arbitrary semantic bucket/subbucket and physical measure combinations and do not have one stable FlowCellSpec identity",retain_bounded_compatibility
legacy.cellspec.unknown_review_net,professional_drilldown,accounting/professional/drilldown_legacy.py,monthly_tables_unknown_review_net_matrix,true,false,REQUIRED_COMPATIBILITY,data_quality_diagnostic,"Unknown/review is a diagnostic surface using net_amount rather than a canonical accounting concept",retain_bounded_compatibility
legacy.cellspec.fb_pm_hh_bridges,professional_drilldown,accounting/professional/drilldown_legacy.py,FB PM Household bridge matrices,true,false,REQUIRED_COMPATIBILITY,diagnostic_bridge,"Bridge rows include net_flow debt_net unknown_net and FX diagnostics; they are not allowed to define core accounting membership",retain_bounded_compatibility
legacy.cellspec.draws_by_type_net,professional_drilldown,accounting/professional/drilldown_legacy.py,monthly_tables_draws_by_type_net_amount,true,false,REQUIRED_COMPATIBILITY,diagnostic_only,"Net-amount view is intentionally distinct from governed withdrawal amount_out authority",retain_bounded_compatibility
flow.deferred_funding_dimensions,professional_drilldown,accounting/professional/drilldown_wave4_base.py,"flow.funding_contribution.by_actor/by_channel/by_cash_effect/by_target_box",true,true,UPSTREAM_FIX_REQUIRED,support_semantics,"Explicit IDs are deferred because professional support rows can include direct-obligation and debt-linked support broader than atomic funding_contribution membership",dedicated_support_contract_before_removal
flow.deferred_fx_atomic,professional_drilldown,accounting/professional/drilldown_wave4_base.py,"flow.fx.conversion_proceeds/outflow/cost_or_spread",true,true,UPSTREAM_FIX_REQUIRED,fx_atomic_drilldown,"Current FlowCellSpec grain requires Box while some professional statement rows are total-by-currency; dropping Box would change grain",resolve_fx_grain_contract_before_removal
specialized.fx_net,professional_and_metrics,accounting/professional/drilldown_legacy.py,TR.FX.NET and fx_net diagnostic,true,false,UPSTREAM_FIX_REQUIRED,specialized_treasury,"Net FX is not one atomic semantic measure contract; PR16-18 deliberately excluded it from generic DerivedMetricSpec",dedicated_fx_net_contract_or_explicit_specialized_executor
specialized.debt_net_pm_position,annual_metrics_and_drilldown,accounting/metrics/annual_legacy.py,ID.DEBT.NET_PM_POSITION,true,false,UPSTREAM_FIX_REQUIRED,specialized_debt_position,"Net PM position depends on debtor/creditor identity and direction rather than one generic DebtPositionSpec scalar",dedicated_counterparty_net_position_contract
specialized.bridge_net_flow,professional_drilldown,accounting/professional/drilldown_legacy.py,FB/PM/HH and annual cash bridge net_flow,true,false,UPSTREAM_FIX_REQUIRED,bridge_formula,"Net-flow bridge is governed-row aggregation across heterogeneous flow concepts rather than a scalar DerivedMetricSpec formula",dedicated_bridge_contract_if_legacy_removal_is_required
annual.atomic_metric_lineage,professional_drilldown,accounting/professional/drilldown_legacy.py,annual flow rows sourced from annual_balance_dashboard_metrics.csv,true,true,REQUIRED_COMPATIBILITY,lineage_adapter,"Wave3 explicitly preserves annual metric provenance instead of rebuilding annual rows from monthly semantic split",retain_until_dedicated_annual_lineage_adapter
compat.derived_label_adapter,professional_metadata,accounting/professional/derived_metric_metadata.py,overview presentation label to derived_metric_id,true,false,REQUIRED_COMPATIBILITY,metadata_adapter,"Human labels are confined to metadata compatibility mapping; DerivedMetricSpec and executor are label-free",retain_until_producer_emits_derived_metric_id
compat.funding_metadata_inference,professional_metadata,accounting/professional/table_contracts.py,funding presentation metadata inference,true,false,REQUIRED_COMPATIBILITY,metadata_adapter,"Compatibility inference may repair old presentation metadata but does not opt inferred rows into FlowCellSpec execution",retain_until_producers_emit_stable_metadata
compat.derived_minimal_schema,professional_drilldown,accounting/professional/derived_metric_executor.py,historical annual artifacts without value_status,true,true,REQUIRED_COMPATIBILITY,historical_schema_adapter,"Modern annual schema is governed; historical/minimal fixtures intentionally return None to compatibility rather than being reinterpreted as modern evidence",retain_explicit_schema_boundary
compat.cash_minimal_schema,professional_drilldown,accounting/professional/cash_position_executor.py,historical cash artifacts without governed validation schema,true,false,REQUIRED_COMPATIBILITY,historical_schema_adapter,"Validated cash executor only claims modern governed schema; older table shapes retain compatibility behavior",retain_explicit_schema_boundary
compat.debt_minimal_schema,professional_drilldown,accounting/professional/debt_position_executor.py,historical debt position artifacts outside typed contract schema,true,false,REQUIRED_COMPATIBILITY,historical_schema_adapter,"Governed debt executor claims characterized modern source shape; incomplete historical fixtures remain compatibility",retain_explicit_schema_boundary
compat.debt_activity_minimal_schema,professional_drilldown,accounting/professional/debt_activity_executor.py,historical debt activity artifacts outside typed contract schema,true,false,REQUIRED_COMPATIBILITY,historical_schema_adapter,"Governed debt activity executor claims modern activity schema only",retain_explicit_schema_boundary
compat.drilldown_orchestrator,professional_drilldown,accounting/professional/drilldown_legacy.py,build_professional_flow_drilldowns orchestration,true,false,REQUIRED_COMPATIBILITY,orchestration_only,"Public facade patches governed routing hooks but still reuses mature index/detail/HTML/QA orchestration",physical_rehome_only_after_behavior_parity
compat.wave4_facade,professional_drilldown,accounting/professional/drilldown_wave4_base.py,Wave3/4 governed routing facade,true,true,REQUIRED_COMPATIBILITY,transition_infrastructure,"Current public Wave5 facade imports this module for atomic/debt routing and legacy orchestration patching",retain_until_facades_are_squashed_mechanically
