authority_id,layer,surface,stable_metric_id,current_identity,current_inputs,current_operation,current_missing_policy,current_zero_policy,current_period_policy,current_source,duplication_or_risk,target_wave5_class,pr17_readiness,decision_required,evidence
statement.net_operating,semantic_mart,monthly_operating_statement,IS.NET.OPERATING,statement_line=net_operating,"operating_revenue;property_opex_true",subtract,"component sums inside an existing period/currency group default to zero","not applicable",monthly per Currency; annual metric sums monthly statement values,monthly_flow_semantic_split.csv,"authoritative value already exists upstream; professional also has independent rebuild paths",SOURCE_VALUE_WITH_FORMULA_RECONCILIATION,READY,no,"semantic.py: net_operating = op_rev - opex; emitted as statement line"
statement.coverage_after_draws,semantic_mart,monthly_operating_statement,COV.NET.AFTER_DRAWS,statement_line=coverage_after_draws,"net_operating;funding_contributions;family_draws_or_distributions",add_subtract,"component sums inside an existing period/currency group default to zero","not applicable",monthly per Currency; annual metric sums monthly statement values,monthly_flow_semantic_split.csv,"authoritative value already exists upstream; professional has source-or-recompute fallback",SOURCE_VALUE_WITH_FORMULA_RECONCILIATION,READY,no,"semantic.py: coverage_after_draws = net_operating + funding - draws"
statement.treasury_fx_net,semantic_mart,monthly_operating_statement,TR.FX.NET,statement_line=treasury_fx_net,"fx_conversion_in;fx_conversion_out;fx_cost;other_fx",specialized_add_subtract,"component sums inside an existing period/currency group default to zero","not applicable",monthly per Currency; annual metric sums monthly statement values,monthly_flow_semantic_split.csv,"formula includes residual other_fx semantics and should not be forced into generic v1 DAG",SPECIALIZED_UPSTREAM_DERIVED,DEFER,no,"semantic.py: fx_conversion_in - fx_conversion_out - fx_cost + fx_other"
annual.savings_rate,annual_metrics,annual_balance_dashboard_metrics,COV.SAVINGS_RATE,stable metric_id,"annual COV.NET.AFTER_DRAWS;annual IS.NET.OPERATING",ratio,"pivot may omit a component; get(...,0) is used for numerator while denominator status is checked",not_applicable when annual net_operating is zero,ratio of annual aggregates; never average monthly ratios,monthly_operating_statement.csv,"zero-denominator policy conflicts with professional _safe_div which returns 0.0",GENERIC_DERIVED_RATIO,READY,no,"annual_legacy.py explicitly emits not_applicable when denominator == 0"
professional.operating_margin,professional,overview_balance_dashboard,,human label 'Margen operativo',"IS.NET.OPERATING;IS.REVENUE.OPERATING",ratio,"missing component defaults to 0.0",0.0 when denominator abs <= tolerance,annual per Currency,annual_balance_dashboard_metrics.csv,"label-bound identity; zero denominator can look like a valid zero ratio",GENERIC_DERIVED_RATIO,READY,no,"AnnualFormulaSpec + _safe_div"
professional.opex_to_rent,professional,overview_balance_dashboard,,human label 'OPEX / renta',"IS.OPEX.PROPERTY;IS.REVENUE.OPERATING",ratio,"missing component defaults to 0.0",0.0 when denominator abs <= tolerance,annual per Currency,annual_balance_dashboard_metrics.csv,"label says rent but denominator is operating revenue; future non-rent operating revenue would change meaning",GENERIC_DERIVED_RATIO,BLOCKED,yes,"AnnualFormulaSpec uses IS.REVENUE.OPERATING rather than IS.RENT.TOTAL"
professional.draws_to_operating_result,professional,overview_balance_dashboard,,human label 'Retiros / resultado operativo',"DIST.DRAWS.PERSONAL;IS.NET.OPERATING",ratio,"missing component defaults to 0.0",0.0 when denominator abs <= tolerance,annual per Currency,annual_balance_dashboard_metrics.csv,"label-bound identity; zero denominator can look like a valid zero ratio",GENERIC_DERIVED_RATIO,READY,no,"AnnualFormulaSpec + _safe_div"
professional.coverage_after_funding_and_draws,professional,overview_balance_dashboard,COV.NET.AFTER_DRAWS,human label 'Cobertura después de funding y retiros',"COV.NET.AFTER_DRAWS;IS.NET.OPERATING;FUND.CONTRIB.TOTAL;DIST.DRAWS.PERSONAL",source_or_recompute,"uses COV.NET.AFTER_DRAWS when present; otherwise missing recompute components default to 0.0","not applicable",annual per Currency,annual_balance_dashboard_metrics.csv,"two authorities in one expression: governed source metric OR procedural recomputation",SOURCE_VALUE_WITH_FORMULA_RECONCILIATION,READY,no,"_build_annual_formula_cell values.get(COV.NET.AFTER_DRAWS, recompute)"
professional.annual_net_operating_rebuild,professional,income_operating_statement,,human annual line tokens,"operating_revenue/rent;property_opex",subtract,"empty semantic subsets sum to zero","not applicable",annual per Currency rebuilt from monthly split,monthly_flow_semantic_split.csv,"duplicates both semantic membership and derived formula despite IS.NET.OPERATING already existing upstream",REMOVE_DUPLICATE_AUTHORITY,READY,no,"_annual_professional_line_spec returns net_operating_formula and rebuilds from split"
professional.diagnostic_box_level,professional,monthly_tables_diagnostic_box_level_matrix,,metric=diagnostic_box_level,"current legacy box-level close;previous legacy box-level close",period_delta,"missing current/previous rows sum to 0.0; blank-party fallback may join validated rows",0.0 empty close sums,monthly per Currency/Box,monthly_cash_close.csv,"still uses inferred_box_motor OR blank-party fallback; after Wave4 blank-party can reintroduce validated cash; missing prior becomes false zero baseline",PERIOD_DELTA_ON_INFERRED_CONTROL,BLOCKED,yes,"_cash_close_box_rows + _close_amount_sum; Wave4 intentionally deferred this path"
